paper_id,instrument_id,instrument_status
P00001,I00001,uses
P00001,I00002,uses
P00001,I00003,uses
P00001,I00004,uses
P00002,I00001,uses
P00003,I00001,uses
P00004,I00002,uses
P00004,I00005,uses
P00004,I00006,uses
P00004,I00007,uses
P00005,I00002,uses
P00005,I00008,uses
P00006,I00002,uses
P00007,I00002,uses
P00008,I00002,uses
P00009,I00002,uses
P00009,I00005,uses
P00010,I00002,uses
P00011,I00002,uses
P00012,I00002,uses
P00013,I00002,uses
P00014,I00002,uses
P00015,I00002,uses
P00016,I00002,uses
P00017,I00002,uses
P00018,I00002,uses
P00018,I00005,uses
P00019,I00002,uses
P00020,I00002,uses
P00020,I00005,uses
P00021,I00002,uses
P00021,I00005,uses
P00022,I00002,uses
P00023,I00002,uses
P00023,I00005,uses
P00023,I00009,uses
P00023,I00010,uses
P00024,I00002,uses
P00024,I00005,uses
P00024,I00009,uses
P00024,I00006,uses
P00024,I00003,uses
P00024,I00004,uses
P00024,I00011,uses
P00024,I00007,uses
P00025,I00002,uses
P00026,I00002,uses
P00027,I00002,uses
P00027,I00009,uses
P00028,I00002,uses
P00029,I00002,uses
P00029,I00005,uses
P00029,I00004,uses
P00029,I00011,uses
P00030,I00002,uses
P00031,I00002,uses
P00031,I00011,uses
P00032,I00002,uses
P00032,I00005,uses
P00033,I00002,uses
P00034,I00002,uses
P00034,I00005,uses
P00034,I00009,uses
P00035,I00002,uses
P00035,I00005,uses
P00035,I00009,uses
P00035,I00012,uses
P00036,I00002,uses
P00036,I00005,uses
P00037,I00002,uses
P00037,I00005,uses
P00037,I00009,uses
P00038,I00002,uses
P00038,I00005,uses
P00038,I00009,uses
P00038,I00013,uses
P00039,I00002,uses
P00040,I00002,uses
P00040,I00009,uses
P00040,I00013,uses
P00041,I00002,uses
P00041,I00005,uses
P00042,I00002,uses
P00043,I00002,uses
P00044,I00002,uses
P00044,I00014,uses
P00044,I00005,uses
P00044,I00015,uses
P00044,I00016,uses
P00044,I00009,uses
P00044,I00017,uses
P00045,I00002,uses
P00046,I00002,uses
P00047,I00002,uses
P00048,I00002,uses
P00048,I00005,uses
P00049,I00002,uses
P00049,I00005,uses
P00049,I00016,uses
P00049,I00009,uses
P00049,I00010,uses
P00049,I00011,uses
P00050,I00002,uses
P00051,I00002,uses
P00051,I00005,uses
